Gene_Symbol	log2FC	pval	qval	tumor_mean_log2	normal_mean_log2
EEF1G	-9.923784539364451	0.0	0.0	0.0008957859768738664	9.924680325341326
ABCB6	-2.4547411726332458	0.0	0.0	0.3947348250582213	2.849475997691467
CHN2	-2.971513045486767	0.0	0.0	0.18617345021438894	3.157686495701156
SEC16B	-2.834456493633062	0.0	0.0	0.26475370936086295	3.099210202993925
MRM2	-2.5125589871675293	0.0	0.0	0.11566364662782264	2.628222633795352
IPO4	-4.370662167619729	0.0	0.0	0.17804378668227938	4.548705954302008
ACAD11	-3.8988007949136962	0.0	0.0	0.2572214988187157	4.156022293732412
AMT	-4.075883493414699	0.0	0.0	0.1689598372773415	4.24484333069204
HINT2	-3.795590224289183	0.0	0.0	0.2646736161805391	4.060263840469722
SARNP	-4.4234034700253355	0.0	0.0	0.1557443779195341	4.57914784794487
SPNS1	-3.512913440358817	0.0	0.0	0.6209178002091942	4.1338312405680115
CTRL	-10.327948767598972	0.0	0.0	0.005271514654736117	10.333220282253707
C11ORF52	-3.484910113584682	0.0	0.0	0.08300486058898293	3.567914974173665
AP1G2-AS1	-3.145454892595429	0.0	0.0	0.3766208330523038	3.522075725647733
OGFOD2	-3.126342817690324	0.0	0.0	0.38788416617348886	3.514226983863813
MRPS24	-5.414224465747471	0.0	0.0	0.3336675704332463	5.747892036180717
RPL17	-7.904541726949983	0.0	0.0	2.061270737814399	9.965812464764381
GABARAP	-6.62725157696379	0.0	0.0	0.5544881483524204	7.18173972531621
STIMATE	-2.773451976356169	0.0	0.0	0.49696500037593194	3.270416976732101
SPOUT1	-2.9314934002809885	0.0	0.0	0.12976572976178669	3.0612591300427754
SUPT4H1	-4.067197445395667	0.0	0.0	0.05597077968662672	4.123168225082294
CMC4	-4.526715968214297	0.0	0.0	0.0	4.526715968214297
HDHD2	-2.940290428881814	0.0	0.0	0.5357622563264041	3.4760526852082183
NOP2	-3.161847314926488	0.0	0.0	0.3325912918267533	3.494438606753241
PSMA2	-4.9849561891231025	0.0	0.0	0.416971217396138	5.40192740651924
ATP6V0C	-5.588117675030704	0.0	0.0	0.5823936724817133	6.170511347512417
NPIPB14P	-4.358825005455674	0.0	0.0	0.05210697654530605	4.41093198200098
MYG1	-4.530712359753162	0.0	0.0	0.18227462794457508	4.712986987697737
CLN3	-2.4618089920373007	0.0	0.0	0.3459722856240296	2.8077812776613302
BBS1	-2.9274442337987825	0.0	0.0	0.4003349762204809	3.3277792100192634
ARL6IP4	-6.650786550952258	0.0	0.0	0.5689060237752575	7.219692574727516
GTF2H4	-3.291629812138345	0.0	0.0	0.23377218112880416	3.525401993267149
TTC4	-2.5687072126256325	0.0	0.0	0.7079408599112373	3.2766480725368696
PLA2G4B	-4.078969582093344	0.0	0.0	0.26277834053473403	4.341747922628078
PSEN2	-2.641029271602057	0.0	0.0	0.304239244536563	2.94526851613862
SRCAP	-3.065199815468377	0.0	0.0	0.7969591882632907	3.8621590037316675
PDXP	-2.7130650549328177	0.0	0.0	0.22460869094845257	2.9376737458812703
RTEL1	-2.733432918689155	0.0	0.0	0.40582660452655395	3.139259523215709
PIK3R2	-3.636138899874617	0.0	0.0	0.07735562177887426	3.7134945216534914
CHKB	-4.294296591796439	0.0	0.0	0.6149407801068842	4.909237371903322
COQ8A	-5.6816217672519596	0.0	0.0	0.37172834687103373	6.053350114122993
NDUFA7	-3.7812954083346657	0.0	0.0	0.6049681962430603	4.386263604577726
GPS2	-4.533817803752386	0.0	0.0	0.5635932023100337	5.09741100606242
NDST2	-3.147785020883089	0.0	0.0	0.18312052726850697	3.3309055481515957
CHD1L	-2.7662800590266245	0.0	0.0	0.3731372318124036	3.1394172908390283
TEN1	-4.166334357022664	0.0	0.0	0.04855049181695475	4.214884848839619
INO80B	-4.1857934385465505	0.0	0.0	0.757279772151917	4.943073210698468
JMJD7	-3.6481125576059172	0.0	0.0	0.24592595531764302	3.89403851292356
ANKHD1	-3.842336592687224	0.0	0.0	0.6431063480842595	4.485442940771484
TMEM35B	-4.146514358249675	0.0	0.0	0.08770972692780346	4.234224085177479
RNF31	-3.800856284822073	0.0	0.0	0.42815241032734813	4.229008695149421
VARS2	-3.4609070010102014	0.0	0.0	0.24010916743702593	3.7010161684472274
RPL36A	-6.706866691228663	0.0	0.0	1.3698843441934963	8.07675103542216
TOMM6	-6.743868982913971	0.0	0.0	0.0	6.743868982913971
ACY1	-2.760508194508858	0.0	0.0	0.22804555109265623	2.9885537456015143
TXNDC5	-6.310003459076128	0.0	0.0	0.42508543561625767	6.735088894692386
SLC39A1	-3.747094461231243	0.0	0.0	0.7876620881107171	4.53475654934196
FDX2	-3.1863084666348835	0.0	0.0	0.0903059607257143	3.276614427360598
BCKDHA	-4.493098309390296	0.0	0.0	0.3395525959852078	4.8326509053755045
WDR83OS	-6.273459293327188	0.0	0.0	0.009147884483322795	6.282607177810511
MDP1	-3.3917768889032462	0.0	0.0	0.091002124848121	3.4827790137513674
ST6GALNAC6	-4.788385926494642	0.0	0.0	0.20056682024018088	4.988952746734823
NUDT3	-2.588098034234553	0.0	0.0	0.3212525254879094	2.9093505597224625
SEPTIN5	-2.92369839478985	0.0	0.0	0.1735461440000989	3.097244538789949
TAX1BP3	-5.274697887413202	0.0	0.0	0.45989799106979307	5.734595878482995
GNG10	-3.1899698259730687	6e-323	3.412e-320	0.30475415579940085	3.4947239817724696
TSFM	-2.271825506438927	7.2e-322	4.08923e-319	0.44386818136400774	2.715693687802935
NICN1	-3.3661818265058088	6.8616e-320	3.832598e-317	0.0010265905027491322	3.367208417008558
ABHD16A	-3.100999770053608	1.47444e-318	8.11625856e-316	0.9215226303708408	4.022522400424449
SLC25A32	-2.272414271778395	7.88923e-318	4.28069639e-315	0.20909854045425424	2.481512812232649
IGLV5-52	-2.644336290359393	1.37932555e-316	7.3788088956e-314	0.18357794993720886	2.827914240296602
PSMD9	-2.426010970137151	2.54159176e-316	1.3407602552e-313	1.1251722737324958	3.5511832438696467
NME2	-6.620257278440148	1.11994212246e-312	5.82707420484064e-310	1.142523196807708	7.7627804752478555
CPT1B	-3.457260584743522	8.19285493522e-312	4.20514886688435e-309	0.47251900288777937	3.9297795876313013
ZNF410	-1.8977117990395511	2.61094681870536e-310	1.3222530942408954e-307	0.29407908549102446	2.1917908845305756
SNX15	-2.7861359329979374	3.35906245227154e-310	1.6787356587128632e-307	0.5528750768272296	3.339011009825167
CUZD1	-9.943082168026407	1.77533181999895e-309	8.75722768664936e-307	0.6321439044296407	10.575226072456049
SCLY	-2.6158321347938482	3.821870472348826e-305	1.861054926676322e-302	0.6042345025154483	3.2200666373092965
C7ORF25	-1.818289765401784	4.420415990805649e-305	2.125268862820002e-302	0.36307913563121	2.181368901032994
AGAP5	-2.184102090551589	6.849447461710825e-305	3.251946418633757e-302	0.10354951565966769	2.2876516062112566
PLSCR3	-3.2418729095073067	1.9962455832745684e-304	9.360666635053662e-302	0.11672007907574457	3.358592988583051
MAP6D1	-2.200877041881403	1.0287692801907588e-300	4.7652091219762685e-298	0.1295807003168305	2.3304577421982335
PSMA6	-3.638094833902019	1.2450686342928935e-299	5.697614080447311e-297	1.5272141209291517	5.165308954831171
DDT	-4.590508857621243	2.1613243063129155e-298	9.772788071711565e-296	0.00786768670193069	4.598376544323174
IFI30	-4.599156370134724	5.501857039897673e-298	2.458488636345805e-295	0.8243242100393494	5.423480580174073
ASNS	-3.9404373596774787	1.6225643700248294e-295	7.166074407242217e-293	0.6060022664453107	4.5464396261227895
KPNA2P3	-3.452034626863572	3.989309675308922e-292	1.741631725144638e-289	0.0	3.452034626863572
OR7E38P	-3.5835811814817404	9.760576272425802e-292	4.212797817946328e-289	0.6697803689004107	4.253361550382151
MGAT2	-2.6880753102789003	4.562250683174778e-291	1.9470045555993756e-288	0.3613939338998328	3.049469244178733
FANCG	-2.449058852360685	8.136784226514639e-290	3.4339037610164336e-287	0.5719724134650847	3.0210312658257696
HERC3	-1.8009473245190497	6.069641390183139e-287	2.533374937164132e-284	0.27839656269500596	2.0793438872140557
SRXN1	-3.562068646900484	3.582480078566281e-286	1.4790191124359185e-283	0.05518298648218004	3.617251633382664
BPTFP1	-3.2544635003941704	6.1622199833088936e-282	2.5167036495272947e-279	0.0013769212012780723	3.2558404215954484
NDUFA13	-3.858646515554179	1.8492711022846047e-280	7.472235639039772e-278	1.3936709927186148	5.252317508272794
PDXDC2P	-3.185658879591268	1.483004691856799e-279	5.92920886380052e-277	0.08469176863640585	3.270350648227674
PFDN5	-6.353136755215443	4.333604418041161e-279	1.7145725313129102e-276	1.473042302595124	7.826179057810568
EIF4A1	-5.706674195931475	7.450411750455948e-279	2.9173354546991528e-276	1.3935346073525539	7.100208803284029
TJP2	-3.00089030475465	3.34972962358376e-277	1.2982594955403916e-274	0.5605165672278083	3.5614068719824585
ECE2	-3.8113720406134406	7.675555204374178e-277	2.944777149217576e-274	0.08028596562993888	3.8916580062433797
CALML4	-2.138730097121308	3.1091611531340228e-276	1.1809215891833645e-273	0.13844529144588028	2.2771753885671884
TAF10	-3.355170902829917	3.2391584365753095e-276	1.2181159974059745e-273	1.290284706645835	4.645455609475752
SGSM3	-5.257897976244116	2.270105570025965e-275	8.453249976541786e-273	0.9756745523544029	6.233572528598518
TRAPPC5	-2.0774260239661184	1.9673058108256718e-274	7.254583427842783e-272	0.4256155019449244	2.503041525911043
MUTYH	-1.6933961117839722	1.350620207127059e-271	4.932620837221149e-269	0.398431546610436	2.091827658394408
AARSD1	-3.5767399271320457	1.131149269130686e-270	4.0917439562020687e-268	0.8636200372617646	4.44035996439381
