Gene_Symbol	log2FC	pval	qval	tumor_mean_log2	normal_mean_log2
EEF1G	-9.923784539364451	0.0	0.0	0.0008957859768738	9.924680325341326
ABCB6	-2.4547411726332458	0.0	0.0	0.3947348250582213	2.849475997691467
CHN2	-2.971513045486767	0.0	0.0	0.1861734502143889	3.157686495701156
SEC16B	-2.834456493633062	0.0	0.0	0.2647537093608629	3.099210202993925
MRM2	-2.5125589871675293	0.0	0.0	0.1156636466278226	2.628222633795352
IPO4	-4.370662167619729	0.0	0.0	0.1780437866822793	4.548705954302008
ACAD11	-3.898800794913696	0.0	0.0	0.2572214988187157	4.156022293732412
AMT	-4.075883493414699	0.0	0.0	0.1689598372773415	4.24484333069204
HINT2	-3.795590224289183	0.0	0.0	0.2646736161805391	4.060263840469722
SARNP	-4.423403470025336	0.0	0.0	0.1557443779195341	4.57914784794487
SPNS1	-3.512913440358817	0.0	0.0	0.6209178002091942	4.133831240568012
CTRL	-10.327948767598972	0.0	0.0	0.0052715146547361	10.333220282253707
C11ORF52	-3.484910113584682	0.0	0.0	0.0830048605889829	3.567914974173665
AP1G2-AS1	-3.145454892595429	0.0	0.0	0.3766208330523038	3.522075725647733
OGFOD2	-3.126342817690324	0.0	0.0	0.3878841661734888	3.514226983863813
MRPS24	-5.414224465747471	0.0	0.0	0.3336675704332463	5.747892036180717
RPL17	-7.904541726949983	0.0	0.0	2.061270737814399	9.96581246476438
GABARAP	-6.62725157696379	0.0	0.0	0.5544881483524204	7.18173972531621
STIMATE	-2.773451976356169	0.0	0.0	0.4969650003759319	3.270416976732101
SPOUT1	-2.9314934002809885	0.0	0.0	0.1297657297617866	3.0612591300427754
SUPT4H1	-4.067197445395667	0.0	0.0	0.0559707796866267	4.123168225082294
CMC4	-4.526715968214297	0.0	0.0	0.0	4.526715968214297
HDHD2	-2.940290428881814	0.0	0.0	0.5357622563264041	3.4760526852082183
NOP2	-3.161847314926488	0.0	0.0	0.3325912918267533	3.494438606753241
PSMA2	-4.984956189123103	0.0	0.0	0.416971217396138	5.40192740651924
ATP6V0C	-5.588117675030704	0.0	0.0	0.5823936724817133	6.170511347512417
NPIPB14P	-4.358825005455674	0.0	0.0	0.052106976545306	4.41093198200098
MYG1	-4.530712359753162	0.0	0.0	0.182274627944575	4.712986987697737
CLN3	-2.4618089920373007	0.0	0.0	0.3459722856240296	2.8077812776613302
BBS1	-2.9274442337987825	0.0	0.0	0.4003349762204809	3.327779210019264
ARL6IP4	-6.650786550952258	0.0	0.0	0.5689060237752575	7.219692574727516
GTF2H4	-3.291629812138345	0.0	0.0	0.2337721811288041	3.525401993267149
TTC4	-2.5687072126256325	0.0	0.0	0.7079408599112373	3.2766480725368696
PLA2G4B	-4.078969582093344	0.0	0.0	0.262778340534734	4.341747922628078
PSEN2	-2.641029271602057	0.0	0.0	0.304239244536563	2.94526851613862
SRCAP	-3.065199815468377	0.0	0.0	0.7969591882632907	3.862159003731668
PDXP	-2.7130650549328177	0.0	0.0	0.2246086909484525	2.9376737458812703
RTEL1	-2.733432918689155	0.0	0.0	0.4058266045265539	3.139259523215709
PIK3R2	-3.636138899874617	0.0	0.0	0.0773556217788742	3.7134945216534914
CHKB	-4.294296591796439	0.0	0.0	0.6149407801068842	4.909237371903322
COQ8A	-5.68162176725196	0.0	0.0	0.3717283468710337	6.053350114122993
NDUFA7	-3.7812954083346657	0.0	0.0	0.6049681962430603	4.386263604577726
GPS2	-4.533817803752386	0.0	0.0	0.5635932023100337	5.09741100606242
NDST2	-3.147785020883089	0.0	0.0	0.1831205272685069	3.330905548151596
CHD1L	-2.7662800590266245	0.0	0.0	0.3731372318124036	3.1394172908390283
TEN1	-4.166334357022664	0.0	0.0	0.0485504918169547	4.214884848839619
INO80B	-4.185793438546551	0.0	0.0	0.757279772151917	4.943073210698468
JMJD7	-3.648112557605917	0.0	0.0	0.245925955317643	3.89403851292356
ANKHD1	-3.842336592687224	0.0	0.0	0.6431063480842595	4.485442940771484
TMEM35B	-4.146514358249675	0.0	0.0	0.0877097269278034	4.234224085177479
RNF31	-3.800856284822073	0.0	0.0	0.4281524103273481	4.229008695149421
VARS2	-3.460907001010201	0.0	0.0	0.2401091674370259	3.7010161684472274
RPL36A	-6.706866691228663	0.0	0.0	1.3698843441934965	8.07675103542216
TOMM6	-6.743868982913971	0.0	0.0	0.0	6.743868982913971
ACY1	-2.760508194508858	0.0	0.0	0.2280455510926562	2.9885537456015143
TXNDC5	-6.310003459076128	0.0	0.0	0.4250854356162576	6.735088894692386
SLC39A1	-3.747094461231243	0.0	0.0	0.7876620881107171	4.53475654934196
